year,month,cve_ent,cve_mun,organismo,modalidad,destcred,tipocred,gen,rangoedad,rangoingreso,valorvivi,acciones,monto
2021,1,17,31,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"21,078.00"
2021,1,9,8,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,2,"189,961.00"
2021,1,27,2,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"53,834.00"
2021,1,7,8,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"80,521.00"
2021,1,27,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"53,105.00"
2021,1,27,4,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,2,"244,041.00"
2021,1,15,39,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,3,3,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"71,625.00"
2021,1,15,31,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"79,949.00"
2021,1,20,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"108,833.00"
2021,1,15,25,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"102,126.00"
2021,1,17,25,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"120,172.00"
2021,1,13,48,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"63,745.00"
2021,1,28,38,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"50,771.00"
2021,1,20,427,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,28,9,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"38,080.00"
2021,1,19,37,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,22,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,17,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"8,750.00"
2021,1,27,12,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,11,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"55,000.00"
2021,1,8,19,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,2,"175,189.00"
2021,1,28,32,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"67,384.00"
2021,1,19,39,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,2,"189,389.00"
2021,1,9,11,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"97,476.00"
2021,1,2,3,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,15,33,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"120,172.00"
2021,1,19,26,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,2,"193,676.00"
2021,1,17,11,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"14,000.00"
2021,1,9,2,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"59,900.00"
2021,1,7,54,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"66,141.00"
2021,1,9,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"80,000.00"
2021,1,2,2,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"108,314.00"
2021,1,9,3,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"64,233.00"
2021,1,5,30,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"103,574.00"
2021,1,27,2,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,6.01 a 9.00,Económica,1,"30,471.00"
2021,1,22,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,000.00"
2021,1,26,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,4,"267,423.00"
2021,1,14,97,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"67,952.00"
2021,1,27,8,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"87,165.00"
2021,1,14,101,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"84,780.00"
2021,1,9,12,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,3,"216,021.00"
2021,1,20,79,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"78,706.00"
2021,1,12,30,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"40,000.00"
2021,1,21,106,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"61,046.00"
2021,1,15,114,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"77,649.00"
2021,1,14,98,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"83,460.00"
2021,1,11,42,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"68,131.00"
2021,1,19,39,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,10,"630,086.00"
2021,1,19,46,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"161,235.00"
2021,1,1,5,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"53,000.00"
2021,1,15,122,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,900.00"
2021,1,12,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,3,"214,960.00"
2021,1,27,2,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"162,323.00"
2021,1,15,109,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"103,328.00"
2021,1,15,81,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"18,124.00"
2021,1,20,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,900.00"
2021,1,9,13,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"82,403.00"
2021,1,25,6,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"117,836.00"
2021,1,17,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"97,900.00"
2021,1,14,67,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,3,"152,633.00"
2021,1,19,4,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"110,595.00"
2021,1,19,6,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,5,"325,532.00"
2021,1,15,18,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"72,678.00"
2021,1,30,143,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"57,739.00"
2021,1,20,409,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"35,000.00"
2021,1,5,18,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"80,026.00"
2021,1,16,52,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,3,"101,179.00"
2021,1,9,15,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"87,998.00"
2021,1,5,25,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"35,963.00"
2021,1,31,93,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"70,786.00"
2021,1,13,51,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"23,865.00"
2021,1,10,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"77,649.00"
2021,1,19,31,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"44,930.00"
2021,1,30,38,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"76,329.00"
2021,1,27,12,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,2,"131,256.00"
2021,1,15,62,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"39,401.00"
2021,1,8,30,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"27,531.00"
2021,1,21,114,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,3,"235,329.00"
2021,1,17,5,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"51,000.00"
2021,1,15,76,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"45,000.00"
2021,1,20,66,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"60,000.00"
2021,1,26,30,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"42,732.00"
2021,1,11,11,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"67,374.00"
2021,1,32,36,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"78,696.00"
2021,1,15,51,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"67,335.00"
2021,1,29,48,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"69,413.00"
2021,1,15,58,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,900.00"
2021,1,11,37,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"76,329.00"
2021,1,9,9,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"94,025.00"
2021,1,25,12,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"20,000.00"
2021,1,5,10,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"61,004.00"
2021,1,10,12,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"86,367.00"
2021,1,22,11,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"32,918.00"
2021,1,7,106,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"75,152.00"
2021,1,31,33,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"35,253.00"
2021,1,13,16,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"72,261.00"
2021,1,11,17,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,999.00"
2021,1,16,34,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"84,780.00"
2021,1,15,118,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"75,276.00"
2021,1,14,18,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"44,065.00"
2021,1,12,75,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"96,402.00"
2021,1,11,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"54,236.00"
2021,1,17,31,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"69,008.00"
2021,1,20,67,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"82,403.00"
2021,1,15,19,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"85,837.00"
2021,1,32,51,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"78,706.00"
2021,1,14,85,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"65,424.00"
2021,1,21,69,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"37,986.00"
2021,1,31,103,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"49,950.00"
2021,1,17,24,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,4.01 a 6.00,Económica,1,"41,901.00"
2021,1,8,1,BANCA (CNBV),Mejoramientos,Mejoramientos,Credito individual,Hombre,30 a 59,4.01 a 6.00,Económica,1,"80,380.00"
2021,1,19,5,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"60,198.00"
2021,1,22,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"49,000.00"
2021,1,8,19,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,3,"136,050.00"
2021,1,3,8,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,3,"209,008.00"
2021,1,12,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,2,"169,665.00"
2021,1,15,87,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,2,"118,867.00"
2021,1,7,101,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"102,476.00"
2021,1,21,156,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"48,929.00"
2021,1,26,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"98,779.00"
2021,1,4,3,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,2,"154,903.00"
2021,1,15,57,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,2,"140,109.00"
2021,1,28,41,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"49,900.00"
2021,1,15,109,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,1,"43,766.00"
2021,1,10,5,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,4.01 a 6.00,Económica,4,"118,021.00"
